Category,Item Code,Description,Price ($)
Case,A1,Compact,75
Case,A2,Tower,150
RAM,B1,8GB,79.99
RAM,B2,16GB,149.99
RAM,B3,32GB,299.99
Main Hard Disk Drive,C1,1TB HDD,49.99
Main Hard Disk Drive,C2,2TB HDD,89.99
Main Hard Disk Drive,C3,4TB HDD,129.99
Solid State Drive,D1,240GB SSD,59.99
Solid State Drive,D2,480GB SSD,119.99
Second Hard Disk Drive,E1,1TB HDD,49.99
Second Hard Disk Drive,E2,2TB HDD,89.99
Second Hard Disk Drive,E3,4TB HDD,129.99
Optical Drive,F1,DVD/Blu-Ray Player,50
Optical Drive,F2,DVD/Blu-Ray Rewriter,100
Operating System,G1,Standard Version,100
Operating System,G2,Professional Version,175
